"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"CYP51A1"	0	0	7.79592559354227	0	0	0	6.10372096842276	0
"KRIT1"	12.0664960435634	11.3950850575402	2.16623989218747	36.9292376421435	23.5066844174896	22.9061657315368	14.8749299494922	17.0948215935293
"RAD52"	1.78349792590134	0	0	0	6.29086108649364	0	2.23481772550604	6.88128115561028
"BAD"	36.7640145594946	28.8241116864958	19.6694502998504	10.0610450573763	30.7200985875301	18.9280066612503	11.0937370298367	38.2388173108426
"LAP3"	34.3125083015408	133.396830663559	120.134619302728	53.3957923583903	4.65186604754555	41.1567297155551	164.962095111371	32.4411822536589
"CD99"	129.303084069548	419.821422080389	290.184607204271	408.138547845633	405.639253611819	439.040046850418	191.597697706472	309.854101010033
"HS3ST1"	18.8480096574429	20.5685120627558	13.4239345512631	0	0	0	6.83375773809682	3.65025664357715
"AOC1"	0	0	0	0	0	0	2.6373063954232	0
"WNT16"	9.09111334486992	0	0	0	0	0	0	0
"HECW1"	0	0	0	0	0	0	0	0
"MAD1L1"	8.70713799385742	34.7021079481231	25.8820481632817	22.2182981123688	30.0898438702077	29.7889702845815	43.9031868464857	51.3574611774492
"LASP1"	30.5711028845154	52.7796009966779	51.2962172291474	94.9544620709842	61.9733919281539	87.4896544811991	46.1915069413041	54.7336557604077
"SNX11"	21.0764536735549	7.81224039206705	6.66059006089374	15.5525971495495	14.9683954612594	9.55610507229089	14.3038368184353	0
"TMEM176A"	2.34745980521155	82.0597914554961	72.012202685559	0	0	0	79.6563682186731	0
"M6PR"	77.6575454347027	182.579670093821	120.531197887758	128.438460476723	134.757206446597	98.8050982568187	145.655656332135	98.0469799872326
"KLHL13"	0	0	0	0	0	0	1.33038823178139	0
"CYP26B1"	0	0	0	0	0	0	0	0
"ICA1"	0	4.01570985017735	1.16319344189154	0	9.86993253273527	3.17355667399855	4.63713848283667	170.167815590892
"DBNDD1"	0	0	0	0	0	0	0	0
"ALS2"	9.93823983340703	2.38301913267355	0	0	3.6309520684739	5.7729359078688	0	4.45815713670744
"CASP10"	40.2412461146251	19.7376972641722	1.24279608344932	45.0980293770683	2.90903816883102	21.4220621115668	22.1816753429648	8.91471635227976
"CFLAR"	77.3464500787276	72.1193600720974	303.033677138461	145.926663462666	130.922379577704	146.913550196638	374.52641298028	223.776174537627
"TFPI"	8.5663884857796	9.60608177751959	27.8482296678002	0	0	9.59750455001479	15.2411136642257	5.20282702416671
"NDUFAF7"	0	8.35634365202356	1.38232979473546	4.87309672795343	15.4304960779198	6.94497354601875	4.84586969664888	12.4113809757743
"RBM5"	49.7298867064471	41.2258739740003	22.6699815107863	44.7435779883509	54.9564069469507	43.4258627856586	30.4351884816454	44.6681273492622
"MTMR7"	0	0.482296364260227	0	0	0	0	0	0
"SLC7A2"	0	0	0	0	0	0	0	0
"ARF5"	49.3485816879196	119.870475184793	119.53769658159	35.5005750272983	67.6075454673945	55.0989636156595	123.863824776133	97.1106095081172
"SARM1"	0	3.78652822216573	1.94977837115884	18.7615940382143	0	2.8744099427242	0	10.6761401680679
"POLDIP2"	33.8490359458777	17.8530032256796	19.2369456157559	10.2604027818292	13.8839014292396	17.6195287809178	12.4559577674168	11.984823064308
"PLXND1"	0	25.1150336765888	48.3077827391754	4.23724895138427	25.6455131085258	8.34183774606631	26.0631648045013	0
"AK2"	43.0139884943393	61.5763825690899	48.955022214441	63.4849004838965	40.6998183611641	31.2078426118962	59.1181456312723	55.4091343552562
